player_name,conf,yr,role,Min_per,pts
K.J. Walton,MAC,Sr,Wing G,63.0,16.35
Jeriah Horne,Amer,Sr,Stretch 4,61.3,10.8125
Keon Clergeot,Slnd,Sr,Combo G,72.7,15.875
Kevin Marfo,MAAC,Sr,C,29.9,2.6471
Davion Mintz,SEC,Sr,Combo G,76.4,11.52
Tyson Jolly,MAAC,Sr,Wing G,28.5,9.25
Xavier Green,B10,Sr,Wing G,84.5,6.6957
Grant Golden,A10,Sr,PF/C,63.2,12.7143
Ryan Gomes,Slnd,Sr,C,20.0,2.2381
Mitch Lightfoot,B12,Sr,C,26.4,3.4
Devin Kirby,BSky,Sr,C,28.2,1.5
Abdul Ado,Amer,Sr,C,68.2,5.9394
Jaylen Fornes,CAA,Sr,Wing G,44.3,9.2857
Josh Parrish,WCC,Sr,Wing G,68.5,10.5
Nysier Brooks,SEC,Sr,C,68.1,7.4074
C.J. Keyser,CUSA,Sr,Wing G,78.9,16.5714
Jacob Young,P12,Sr,Scoring PG,75.0,14.1429
Andrew Jones,B12,Sr,Wing G,74.5,14.5769
John Pettway,OVC,Sr,Wing G,87.6,10.7143
Chuba Ohams,A10,Sr,C,2.9,6.0
Ty Flowers,NEC,Sr,Stretch 4,83.1,17.2778
Brison Gresham,SWAC,Sr,C,43.0,2.9677
Dylan Painter,CAA,Sr,C,76.1,13.4667
Harrison Henderson,MAC,Sr,PF/C,45.7,8.6842
Bitumba Baruti,CUSA,Sr,Wing F,54.9,6.7647
Khadim Sy,ACC,Sr,Stretch 4,13.8,3.0714
Koby McEwen,BSky,Sr,Combo G,74.6,10.2222
Kameron McGusty,ACC,Sr,Combo G,61.4,13.3
Jordan Shepherd,P12,Sr,Combo G,83.2,11.92
Elijah Thomas,WAC,Sr,Wing G,66.1,10.6957
Nikola Djogo,CAA,Sr,Wing F,44.5,5.0417
Bryson Williams,B12,Sr,PF/C,74.8,14.4783
A.J. Lawson,SWAC,Sr,Scoring PG,73.3,11.7826
Dontay Bassett,BSky,Sr,Stretch 4,45.1,8.8421
Payton Willis,B10,Sr,Combo G,85.0,13.4211
John Fulkerson,SEC,Sr,C,62.1,9.48
Clevon Brown,CUSA,Sr,Wing F,31.9,3.3529
Jalen Johnson,SC,Sr,Stretch 4,37.2,4.9524
Quan Jackson,CUSA,Sr,Wing G,60.4,10.84
Nana Akenten,OVC,Sr,Wing F,65.5,9.2593
